1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	VALIDATION	ORIGIN	CLUSTER	TABLE	CELL	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2
0	5	56	4	14	366	2	1	58	56	1,0357142857	58	45	1,2888888889	58	58	0,0045668757	0,0009934781	0,0026388426	0,3764824927	1	1	1	16	9	1	0	0	0	0	54	0,9642857143	56	0,9655172414	56	0,9655172414	0	1	1	1	0	0	1	1	0	0	675	41	1	6	1155	1242	714	840	1247	1150	304	264	57	1443	0,2295652174	0,0395010395	6348	1	f	6348	660052.5	42:2:1	english_titl@3	winner_and_nomin@3	https://en.wikipedia.org/wiki/The_Secret_of_the_Grain :Q521484	P57 :director@en	https://en.wikipedia.org/wiki/Abdel_Kechiche :Q307996
0	2	104	12	8,6666666667	2920	1	3	104	104	1	81	8	10,125	104	81	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	91	88	1	0	0	0,2222222222	0,2222222222	100	0,9615384615	100	0,9615384615	79	0,975308642	0	1	1	1	19	1	1	1	0	0	1966	32	5	1034	1410	1410	530	20	1410	541	1323	485	1323	1423	0,8964879852	0,9297259311	1570	1	f	1570	214309.2	101:1:3	bowler@3	team@3	https://en.wikipedia.org/wiki/Stuart_Broad :Q3140358	P54 :member of sports team@en	https://en.wikipedia.org/wiki/England_cricket_team :Q1321565
0	1	27	4	6,75	112	1	0	10	9	1,1111111111	10	9	1,1111111111	10	10	0,0083838758	0,0003484654	0,0062593142	0,0556714992	1	1	1	9	9	0	0	0	0	0	5	0,1851851852	6	0,6	6	0,6	1	1	1	1	0	0	1	1	0	0	18302	28	2	36	199	193	107	58	203	130	70	41	67	894	0,3153846154	0,0749440716	6014	1	f	6014	408913.1	15:1:0	minist@3	portfolio@3	https://en.wikipedia.org/wiki/Hans_H%C3%A6kkerup :Q1390745	P39 :position held@en	https://en.wikipedia.org/wiki/Minister_of_Defence_of_Denmark :Q1815344
0	1	17	17	1	2027	3	4	16	16	1	9	12	0,75	13	9	0,0086330262	0,0085427318	0,0047687349	1,7914042372	1	1	1	67	67	1	1	0	0	0	4	0,2352941176	4	0,3076923077	2	0,2222222222	0	1	1	1	7	7	1	1	0	0	36	16	1	1	1948	1947	227	228	1703	287	684	28	682	2776	0,0975609756	0,2456772334	1035	1	f	1035	737824.1	6:3:4	2@3	3@3	https://en.wikipedia.org/wiki/R :Q9852	P156 :followed by@en	https://en.wikipedia.org/wiki/S :Q9956
0	1	23	6	3,8333333333	132	1	5	18	18	1	13	18	0,7222222222	18	18	0,0034896558	0,0212308128	0,0162061679	1,3100452188	1	1	1	9	9	0	0	0	0	0	7	0,3043478261	7	0,3888888889	7	0,3888888889	1	1	1	1	0	0	1	1	0	0	104	32274	26	1	34270	34274	751	4674	33036	5033	8032	974	7479	57332	0,1935227499	0,1304507082	39	1	f	39	889409.1	18:1:5	competit@3	note@1	https://en.wikipedia.org/wiki/Athletics_at_the_2014_Commonwealth_Games :Q16010824	P361-1 :part of@en	https://en.wikipedia.org/wiki/Athletics_at_the_2014_Commonwealth_Games_%E2%80%93_Women%27s_100_metres :Q17460886
0	6	6	4	1,5	60	2	0	6	6	1	6	3	2	6	6	0,0212308128	0,0034896558	0,0162061679	0,2153288704	1	1	1	10	10	0	0	0	0	0	2	0,3333333333	2	0,3333333333	2	0,3333333333	0	1	1	1	0	0	1	1	0	0	32274	104	1	15	11523	11523	89	3	11523	97	2595	7	1636	12952	0,0721649485	0,1263125386	107	1	f	107	131680.6	5:2:0	leagu@3	level@3	https://en.wikipedia.org/wiki/Northwest_League :Q1186822	P361 :part of@en	https://en.wikipedia.org/wiki/Single-A_(baseball) :Q84129
0	9	18	8	2,25	96	4	2	14	14	1	14	14	1	14	14	0,0006410811	0,0071338212	0,0133908223	0,5327395869	1	1	1	55	55	0	0	0	0	0	2	0,1111111111	2	0,1428571429	2	0,1428571429	1	1	1	1	0	0	1	1	0	0	32	1966	1071	8	393	393	183	335	393	388	176	175	176	513	0,4510309278	0,343079922	4877	1	f	4877	910793.9	18:4:2	move_to@3	player@3	https://en.wikipedia.org/wiki/Torino_FC :Q2768	P54-1 :member of sports team@en	https://en.wikipedia.org/wiki/Tom%C3%A1s_Rinc%C3%B3n :Q210279
0	8	22	6	3,6666666667	135	2	1	23	22	1,0454545455	23	4	5,75	23	23	0,0055794217	5,46047080004503E-06	0,0031061523	0,0017579533	1	1	1	10	23	0	0	0,1818181818	0,0666666667	0,1818181818	16	0,7272727273	17	0,7391304348	17	0,7391304348	0	1	1	1	0	1	1	1	0	0	58817	6	1	44838	16568	15938	10016	4	16568	10360	13088	8388	13087	16940	0,8096525097	0,7725501771	284	1	f	284	158781.8	21:2:1	player@3	pos@3	https://en.wikipedia.org/wiki/Christian_Vieri :Q188696	P413 :position played on team / speciality@en	https://en.wikipedia.org/wiki/Forward_(association_football) :Q280658
0	1	17	4	4,25	99	3	2	16	16	1	16	4	4	16	16	0,0055794217	5,46047080004503E-06	0,0031061523	0,0017579533	1	1	1	34	10	0	0	0,1818181818	0,1875	0,1875	14	0,8235294118	14	0,875	14	0,875	1	1	1	1	0	0	2	1	0	0	58817	6	1	58817	605093	406086	80362	21	605095	97620	299275	60646	299267	549029	0,6212456464	0,5450841395	2	1	f	2	1039401.1	9:3:2	player@3	posit@3	https://en.wikipedia.org/wiki/Ibrahim_Ba :Q342599	P413 :position played on team / speciality@en	https://en.wikipedia.org/wiki/Midfielder :Q193592
0	5	23	2	11,5	47	0	1	12	12	1	12	11	1,0909090909	12	12	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	17	10	1	0	0	0,2222222222	0,2222222222	9	0,3913043478	9	0,75	9	0,75	1	1	1	1	0	0	1	1	0	0	1966	32	2	744	751	749	296	101	755	315	537	215	537	1314	0,6825396825	0,4086757991	3419	1	f	3419	949176.5	15:0:1	name@3	team@3	https://en.wikipedia.org/wiki/Dave_Rimington :Q5229678	P54 :member of sports team@en	https://en.wikipedia.org/wiki/Cincinnati_Bengals :Q223511
